min     max     mean
410     720     459.0
430     810     498.77
440     850     553.58
445     930     635.94
475     1020    709.75
525     1080    801.07
575     1170    878.54
630     1300    982.39
690     1400    1081.92
915     1520    1232.5
1050    1700    1353.03
1175    1720    1476.74
1200    1900    1598.51
1025    2010    1616.4
0       0       0
0       0       0
400     750     469.37
450     835     522.23
520     900     586.65
465     960     636.63
490     1030    714.78
535     1110    822.99
590     1220    913.73
660     1370    1013.42
820     1470    1153.47
1000    1620    1303.02
1160    1770    1480.34
1310    1885    1607.37
1350    2000    1709.25
1450    2150    1842.36
0       0       0
0       0       0
400     695     476.52
440     800     534.96
445     770     584.6
465     900     642.69
515     985     711.42
570     1050    800.09
655     1130    893.75
755     1270    1004.83
795     1400    1128.43
950     1520    1243.18
1100    1700    1393.63
1150    1800    1505.84
1150    1900    1605.49
1000    1980    1681.46
0       0       0
0       0       0
400     740     493.76
410     800     543.27
450     850     609.43
475     930     678.6
540     1040    766.29
550     1095    832.04
650     1200    922.63
735     1320    1009.12
860     1450    1134.51
970     1570    1255.44
1100    1650    1374.36
1150    1850    1539.64
1400    1930    1685.54
1450    2000    1775.09
0       0       0
0       0       0
800     1450    1112.06
850     1460    1171.74
915     1510    1240.33
1000    1615    1316.62
1045    1700    1384.78
1125    1790    1470.37
1205    1900    1550.51
1275    1960    1639.33
1410    2100    1748.52
1535    2200    1850.57
1630    2400    1955.83
1750    2450    2085.93
1850    2500    2185.55
1900    2600    2247.61
1900    2500    2187.85
0       0       0
850     1465    1175.68
880     1560    1193.57
940     1600    1289.74
1010    1710    1353.26
1115    1765    1469.89
1180    1865    1563.25
1285    1960    1661.62
1430    2115    1749.58
1540    2200    1859.06
1680    2330    1978.54
1775    2450    2095.48
1920    2600    2207.62
2030    2650    2330.58
2120    2780    2416.1
2230    2710    2403.52
0       0       0
835     1370    1135.81
950     1430    1206.32
950     1500    1265.21
1110    1590    1347.03
1125    1675    1398.23
1210    1760    1482.07
1305    1825    1569.42
1385    1945    1642.97
1480    2100    1772.46
1580    2185    1852.82
1715    2300    1963.13
1815    2425    2066.74
1895    2550    2166.45
1965    2580    2238.99
1975    2450    2199.94
0       0       0
960     1385    1194.36
970     1470    1230.23
1045    1520    1289.57
1140    1600    1370.09
1200    1690    1426.37
1270    1750    1514.79
1335    1870    1604.71
1390    2000    1690.22
1490    2100    1788.63
1590    2210    1900.19
1700    2330    2011.82
1835    2550    2128.46
1900    2600    2233.36
2000    2700    2331.43
2050    2720    2375.87
0       0       0
