min     max     mean
380     700     497.39
400     805     577.5
425     905     631.85
415     970     667.24
480     1060    764.34
540     1150    851.15
600     1250    934.6
650     1320    1015.48
750     1410    1129.55
850     1530    1259.84
970     1660    1408.31
1165    1780    1555.15
1330    1860    1660.93
1455    1970    1804.75
1605    1940    1827.62
0       0       0
395     680     482.43
440     760     550.21
500     825     621.16
505     960     684.63
570     1075    787.54
595     1130    847.66
680     1250    953.89
740     1350    1070.07
845     1550    1227.54
950     1565    1287.31
1115    1765    1471.72
1320    2000    1702.18
1470    2105    1854.06
1660    2150    1929.91
1800    2170    1984.35
0       0       0
400     680     502.14
430     730     546.04
480     805     599.73
470     880     661.62
550     1000    750.77
600     1140    844.74
660     1250    943.88
730     1330    1021.37
825     1455    1142.9
930     1505    1222.1
1070    1615    1327.79
1210    1750    1478.21
1320    1845    1600.49
1500    1955    1745.39
1570    1880    1729.12
0       0       0
400     725     540.32
420     760     569.2
405     835     639.97
470     880     700.58
570     1080    796.61
605     1150    856.6
640     1215    916.61
760     1345    1050.22
830     1430    1154.52
940     1545    1283.03
1160    1680    1448.33
1260    1760    1535.53
1480    1980    1780.87
1575    2005    1835.17
1705    2090    1937.99
0       0       0
800     1600    1145.97
850     1600    1246.95
900     1700    1310.19
950     1700    1334.96
1050    1800    1424.3 
1150    1900    1522.25
1250    2000    1601.5 
1330    2100    1668.79
1400    2120    1757.94
1530    2200    1886.41
1650    2400    2013.53
1800    2500    2132.43
1880    2500    2202.9 
2000    2600    2304.99
2000    2400    2236.18
0       0       0
800     1650    1160.19
850     1700    1245.59
900     1700    1303.75
950     1800    1389.11
1100    1900    1492.53
1230    1900    1574.1 
1300    2000    1633.81
1500    2100    1764.45
1500    2250    1942.52
1650    2250    1947.69
1750    2450    2124.78
2000    2700    2364.2 
2150    2775    2463.96
2200    2700    2468.59
2150    2675    2456.92
0       0       0
800     1650    1152.53
825     1550    1179.55
875     1625    1259.84
900     1650    1298.08
1050    1800    1411.62
1150    1850    1515.91
1250    2000    1629.53
1325    2050    1682.66
1450    2150    1798.89
1500    2150    1841.59
1600    2200    1915.78
1725    2375    2048.2 
1800    2450    2137.2 
1950    2500    2235.32
1875    2400    2125.11
0       0       0
825     1600    1185.23
850     1550    1195.32
900     1600    1284.78
1025    1700    1358.24
1100    1800    1467.43
1150    1900    1529.89
1200    1900    1557.53
1350    2000    1707.91
1450    2100    1790.03
1550    2200    1909.3 
1750    2400    2069.83
1775    2400    2123.06
2000    2650    2363.16
2050    2650    2352.76
2100    2700    2406.08
0       0       0
