min     max     mean
390     670     477.69
430     760     561.89
490     820     615.77
525     870     654.93
605     945     755.75
705     1050    859.46
770     1160    958.55
840     1240    1011.90
960     1350    1133.60
1090    1470    1264.73
1240    1610    1423.18
1370    1780    1576.30
1490    1870    1692.77
1685    1960    1808.62
1680    1920    1800.80
0       0       0
380     660     485.69
430     730     546.59
480     795     596.64
510     895     672.68
650     990     781.58
690     1060    836.70
810     1165    972.92
900     1310    1071.71
1055    1460    1234.63
1110    1500    1303.67
1290    1680    1500.55
1500    1945    1707.84
1685    2040    1860.67
1775    2105    1943.66
1865    2135    1997.85
0       0       0
400     645     480.93
455     680     511.77
490     775     607.90
540     815     646.31
630     920     744.81
740     1020    848.59
820     1140    937.83
865     1230    1032.28
1030    1345    1163.82
1080    1410    1219.58
1255    1480    1349.74
1330    1665    1477.35
1450    1775    1603.17
1620    1880    1752.57
1615    1835    1732.70
0       0       0
400     675     529.85
350     710     558.77
540     780     634.71
640     860     704.78
655     970     789.09
770     1030    877.61
830     1090    929.77
970     1225    1062.83
1080    1320    1165.72
1205    1465    1293.04
1380    1615    1472.16
1430    1715    1545.54
1680    1960    1795.31
1745    1985    1833.63
1840    2055    1921.09
0       0       0
1000    1320    1155.72
1050    1420    1263.63
1150    1500    1346.67
1235    1515    1348.52
1310    1620    1447.00
1390    1730    1535.08
1485    1785    1621.69 
1530    1850    1681.90
1640    1940    1776.37
1750    2075    1901.61
1890    2180    2034.07
2020    2290    2155.44
2100    2335    2220.31
2210    2410    2303.24
2130    2340    2218.79
0       0       0
1105    1395    1213.52
1200    1500    1302.09
1220    1540    1356.72
1335    1635    1450.23
1405    1730    1553.45
1460    1760    1602.34
1560    1850    1689.98
1650    1975    1797.85
1820    2140    1966.76
1815    2125    1949.86
2005    2290    2138.74
2255    2540    2388.81
2380    2615    2476.84
2390    2590    2472.84
2380    2545    2452.81
0       0       0
1090    1350    1186.85
1060    1330    1206.75
1245    1445    1290.96
1220    1480    1327.85
1330    1590    1444.73
1435    1690    1544.62
1510    1805    1646.72
1550    1850    1693.93
1695    1950    1811.75
1735    1990    1860.58
1815    2040    1928.75
1935    2175    2055.04
2035    2245    2144.88
2195    2350    2227.91
2035    2210    2117.96
0       0       0
1080    1365    1199.32
1060    1330    1213.39
1185    1430    1299.70
1260    1515    1379.90
1410    1620    1489.94
1475    1690    1555.41
1485    1705    1576.47
1630    1840    1717.24
1740    1930    1799.63
1830    2030    1924.59
1985    2205    2081.76
2025    2260    2135.03
2260    2500    2371.93
2320    2400    2351.14
2345    2460    2389.93
0       0       0
