min    max    mean
451    516    485.5
426    490    458.5
394    461    429.0
364    436    399.5
336    404    370.0
305    379    342.5
278    348    315.0
250    325    288.0
229    299    263.5
205    275    241.0
185    254    220.0
167    235    201.0
149    217    183.0
134    199    166.5
121    184    151.0
108    172    138.5
516    564    540.5
495    547    521.0
475    528    500.0
450    504    479.5
430    484    457.5
407    463    436.5
387    441    416.0
367    422    397.0
349    402    377.0
329    389    358.0
313    371    344.5
297    356    327.5
283    344    313.0
268    328    300.0
256    316    286.0
244    306    275.0
