Histogram             Pb        Sm
bE_Q1_f12_b1:    1505.44   2089.35
bE_Q1_f12_b2:    1530.69   2123.74
bE_Q1_f12_b3:    1489.13   2092.58
bE_Q1_f12_b4:    1557.07   2180.82
bE_Q1_f12_b5:    1463.92    2024.7
bE_Q1_f12_b6:    1574.39   2187.16
bE_Q1_f12_b7:    1470.79   2032.99
bE_Q1_f12_b8:    1467.54   2030.52
bE_Q1_f12_b9:    1459.21   2030.85
bE_Q1_f12_b10:   1443.49   2004.92
bE_Q1_f12_b11:   1448.06   2009.32
bE_Q1_f12_b12:   1453.34   2035.59
bE_Q2_f12_b1:    1571.21   2196.38
bE_Q2_f12_b2:    1611.67   2249.75
bE_Q2_f12_b3:    1631.75   2262.75
bE_Q2_f12_b4:    1627.49   2260.35
bE_Q2_f12_b5:    1623.69   2262.77
bE_Q2_f12_b6:    1599.74   2227.52
bE_Q2_f12_b7:    1622.89   2254.03
bE_Q2_f12_b8:    1620.49   2254.23
bE_Q2_f12_b9:    1623.87   2257.11
bE_Q2_f12_b10:   1592.62   2215.64
bE_Q2_f12_b11:   1584.92   2216.19
bE_Q2_f12_b12:   1569.64   2224.68
bE_Q3_f12_b1:       1457   2068.63
bE_Q3_f12_b2:    1548.01   2161.07
bE_Q3_f12_b3:    1489.39   2066.58
bE_Q3_f12_b4:    1564.96      2163
bE_Q3_f12_b5:    1505.02   2066.81
bE_Q3_f12_b6:    1450.92   1990.76
bE_Q3_f12_b7:    1516.33   2090.45
bE_Q3_f12_b8:    1530.85   2109.58
bE_Q3_f12_b9:    1512.78   2091.46
bE_Q3_f12_b10:   1456.86    1997.9
bE_Q3_f12_b11:   1490.25   2065.47
bE_Q3_f12_b12:   1499.59   2090.13
bE_Q4_f12_b1:    1527.73    2087.7
bE_Q4_f12_b2:    1511.59   2070.26
bE_Q4_f12_b3:    1536.62   2104.66
bE_Q4_f12_b4:    1553.53   2131.84
bE_Q4_f12_b5:    1599.19   2182.23
bE_Q4_f12_b6:    1543.15    2106.8
bE_Q4_f12_b7:    1524.93   2085.34
bE_Q4_f12_b8:    1533.05    2095.2
bE_Q4_f12_b9:     1556.9   2129.61
bE_Q4_f12_b10:   1530.44   2095.76
bE_Q4_f12_b11:   1605.01   2220.46
bE_Q4_f12_b12:   1523.45   2129.89
