Histogram            Pb        Sm
bE_Q1_f2_b1:    555.024   1239.68
bE_Q1_f2_b2:    558.552   1260.37
bE_Q1_f2_b3:    542.652   1227.68
bE_Q1_f2_b4:    562.993   1266.02
bE_Q1_f2_b5:    522.886   1195.16
bE_Q1_f2_b6:    562.091   1268.15
bE_Q1_f2_b7:    511.962    1183.2
bE_Q1_f2_b8:     507.78   1180.77
bE_Q1_f2_b9:    492.579   1170.79
bE_Q1_f2_b10:   461.114   1126.19
bE_Q1_f2_b11:   464.562    1143.5
bE_Q1_f2_b12:    468.65   1146.07
bE_Q2_f2_b1:    532.475   1242.41
bE_Q2_f2_b2:    536.567   1257.64
bE_Q2_f2_b3:    531.202   1262.28
bE_Q2_f2_b4:    530.638   1266.51
bE_Q2_f2_b5:     525.05   1255.88
bE_Q2_f2_b6:    513.185   1247.72
bE_Q2_f2_b7:    522.346   1253.83
bE_Q2_f2_b8:    518.102   1262.83
bE_Q2_f2_b9:    517.513   1264.72
bE_Q2_f2_b10:   518.481   1237.63
bE_Q2_f2_b11:    513.68   1258.43
bE_Q2_f2_b12:   523.323   1273.69
bE_Q3_f2_b1:    492.604   1192.72
bE_Q3_f2_b2:    518.992   1235.93
bE_Q3_f2_b3:    499.452   1192.35
bE_Q3_f2_b4:    524.384   1228.36
bE_Q3_f2_b5:    508.018   1200.39
bE_Q3_f2_b6:    497.858   1146.22
bE_Q3_f2_b7:    524.116   1216.74
bE_Q3_f2_b8:    534.668   1224.55
bE_Q3_f2_b9:    521.926   1218.72
bE_Q3_f2_b10:   512.547    1181.9
bE_Q3_f2_b11:   536.577   1219.89
bE_Q3_f2_b12:   540.624   1223.94
bE_Q4_f2_b1:    538.823   1226.86
bE_Q4_f2_b2:    537.271   1221.62
bE_Q4_f2_b3:    549.528    1237.9
bE_Q4_f2_b4:    552.501   1239.57
bE_Q4_f2_b5:        568   1273.34
bE_Q4_f2_b6:    550.935      1231
bE_Q4_f2_b7:    547.405   1226.55
bE_Q4_f2_b8:    546.019   1227.04
bE_Q4_f2_b9:    553.089   1239.89
bE_Q4_f2_b10:   542.366   1218.68
bE_Q4_f2_b11:   573.261   1296.23
bE_Q4_f2_b12:    548.52   1237.75
