Histogram         Pb        Sm
cd_sim_1:     484.86   539.891
cd_sim_2:    457.534    520.55
cd_sim_3:    428.867   499.718
cd_sim_4:    398.955   478.334
cd_sim_5:    369.537   456.706
cd_sim_6:    340.638   435.422
cd_sim_7:    313.651    414.84
cd_sim_8:    287.311   395.305
cd_sim_9:    262.768   376.346
cd_sim_10:   240.362    358.75
cd_sim_11:   219.535   342.404
cd_sim_12:   198.954   326.868
cd_sim_13:   182.414   312.311
cd_sim_14:   164.547    299.11
cd_sim_15:   151.515   286.781
cd_sim_16:   139.624   273.796
