Histogram         Pb        Sm
fE_Q1_f1:    473.607   1154.83
fE_Q1_f2:    550.198   1257.46
fE_Q1_f3:    617.467   1325.79
fE_Q1_f4:    662.276   1355.54
fE_Q1_f5:    749.014   1445.66
fE_Q1_f6:    846.884   1539.87
fE_Q1_f7:     935.82   1616.29
fE_Q1_f8:    1021.84    1677.3
fE_Q1_f9:    1134.17   1771.94
fE_Q1_f10:   1267.81   1895.62
fE_Q1_f11:   1414.18   2025.44
fE_Q1_f12:    1558.4   2143.98
fE_Q1_f13:   1667.82   2209.44
fE_Q1_f14:   1812.96    2305.1
fE_Q1_f15:    1812.5    2213.9
fE_Q1_f16:         0         0
fE_Q2_f1:    463.206   1211.26
fE_Q2_f2:    544.418   1298.96
fE_Q2_f3:    596.081   1341.16
fE_Q2_f4:    670.719   1437.62
fE_Q2_f5:    773.782   1529.59
fE_Q2_f6:    839.143   1582.13
fE_Q2_f7:    952.982   1679.62
fE_Q2_f8:    1066.57   1793.89
fE_Q2_f9:    1233.47   1959.74
fE_Q2_f10:   1288.42   1954.35
fE_Q2_f11:   1474.75   2137.36
fE_Q2_f12:   1712.09   2380.58
fE_Q2_f13:   1861.51   2477.15
fE_Q2_f14:   1934.25   2472.88
fE_Q2_f15:   1989.68   2449.18
fE_Q2_f16:         0         0
fE_Q3_f1:    484.259    1187.2
fE_Q3_f2:    525.739   1204.51
fE_Q3_f3:    593.036   1297.31
fE_Q3_f4:    646.512   1325.11
fE_Q3_f5:      740.7   1434.78
fE_Q3_f6:    841.566   1543.06
fE_Q3_f7:     947.53   1647.02
fE_Q3_f8:    1020.72   1693.34
fE_Q3_f9:    1152.42    1813.4
fE_Q3_f10:   1228.05   1852.23
fE_Q3_f11:   1336.85   1922.88
fE_Q3_f12:   1480.91   2052.51
fE_Q3_f13:   1606.39   2139.06
fE_Q3_f14:   1745.77   2229.12
fE_Q3_f15:      1721    2115.2
fE_Q3_f16:         0         0
fE_Q4_f1:    519.343   1200.01
fE_Q4_f2:    537.096   1208.79
fE_Q4_f3:    629.176   1297.41
fE_Q4_f4:    702.077   1371.24
fE_Q4_f5:    788.611   1484.02
fE_Q4_f6:    866.147   1546.03
fE_Q4_f7:     925.82   1569.03
fE_Q4_f8:    1062.65   1719.83
fE_Q4_f9:    1164.79   1801.32
fE_Q4_f10:   1292.43   1920.69
fE_Q4_f11:   1458.72   2078.36
fE_Q4_f12:   1547.63   2127.71
fE_Q4_f13:   1789.34   2367.88
fE_Q4_f14:   1841.18   2349.77
fE_Q4_f15:   1930.46   2385.75
fE_Q4_f16:         0         0
